month,num_customers,num_transactions,quantity_items_sold,delivery_charges_sum,discount_amount_sum,total_amount_sum,num_coupons_used,num_new_users,num_products_unique,num_categories_unique,marketing_costs,new_customers_rate,aov,avg_num_orders_per_customer,avg_items_per_order,cac,retention_rate,churn_rate,clt,arpa,cltv,customer_profitability,cltv_cac_ratio,revenue_churn,revenue_churn_rate
2019-01-01,232,2190,8161,53423.2,8515.453,305718.147,1434,232,647,20,47957.13,100.0,139.6,9,3,206,1.0,0.0,1.0,1317,1317,1111,6.4,0,0.0
2019-02-01,141,1813,6734,47453.1,15638.496000000001,276769.684,1189,114,638,20,52169.73,80.9,152.66,12,3,457,0.12,0.88,1.1,1962,2158,1701,4.7,243557,-0.09
2019-03-01,229,2207,9023,54951.94,31110.072,307172.668,1510,166,727,20,53360.17,72.5,139.18,9,4,321,0.45,0.55,1.8,1341,2413,2092,7.5,168944,0.11
2019-04-01,236,2113,8022,41451.19,9007.977,301089.883,1457,151,697,19,60971.9,64.0,142.49,8,3,403,0.37,0.63,1.6,1275,2040,1637,5.1,189686,-0.02
2019-05-01,236,2120,8262,40364.35,17096.238,280802.552,1423,119,705,20,58299.3,50.4,132.45,8,3,489,0.5,0.5,2.0,1189,2378,1889,4.9,140401,-0.07
2019-06-01,254,2194,8170,43052.44,28288.458,298113.802,1519,140,714,20,56556.44,55.1,135.88,8,3,403,0.48,0.52,1.9,1173,2228,1825,5.5,155019,0.06
2019-07-01,252,2359,10806,55435.8,10286.504,349513.636,1890,100,728,20,58170.91,39.7,148.16,9,4,581,0.6,0.4,2.5,1386,3465,2884,6.0,139805,0.17
2019-08-01,276,2420,9389,49014.73,18399.58,298456.99,1796,116,599,19,57501.340000000004,42.0,123.33,8,3,495,0.63,0.37,2.7,1081,2918,2423,5.9,110429,-0.15
2019-09-01,195,2108,8035,44077.33,25545.582,271918.00800000003,1407,77,593,20,58383.08,39.5,128.99,10,3,758,0.43,0.5700000000000001,1.8,1394,2509,1751,3.3,154993,-0.09
2019-10-01,210,2095,7808,49499.2,8986.311,310779.799,1318,89,561,20,59172.409999999996,42.4,148.34,9,3,664,0.62,0.38,2.6,1479,3845,3181,5.8,118096,0.14
2019-11-01,214,2527,8063,38923.16,23710.3,363768.53,1533,66,569,19,61123.770000000004,30.8,143.95,11,3,926,0.7,0.30000000000000004,3.3,1699,5606,4680,6.1,109130,0.17
2019-12-01,245,2485,7154,38988.63,26362.809,281698.871,1428,98,579,19,72710.59,40.0,113.36,10,2,741,0.69,0.31000000000000005,3.2,1149,3676,2935,5.0,87326,-0.23
