month,num_customers,num_transactions,quantity_items_sold,delivery_charges_sum,discount_amount_sum,total_amount_sum,num_coupons_used,num_new_users,num_products_unique,num_categories_unique,marketing_costs,new_customers_rate,aov,avg_num_orders_per_customer,avg_items_per_order,cac,retention_rate,churn_rate,clt,arpa,cltv,customer_profitability,cltv_cac_ratio,revenue_churn,revenue_churn_rate
01-01-18,190,1860,7345,48080.88,7623.91,253546.06,1047,217,569,20,35367.85,114.07,136.32,10,4,163,-0.14,1.14,0.88,1332.8,1168,1005,7.2,289211,0.000
02-01-18,110,1540,6021,42607.79,13874.65,229018.84,931,107,561,20,39027.30,97.27,148.71,14,4,365,0.03,0.97,1.03,2082.0,2140,1776,5.9,222773,-0.230
03-01-18,182,1850,8101,49256.75,27899.06,254753.31,1188,151,620,20,40020.13,82.97,137.70,10,4,265,0.17,0.83,1.21,1399.7,1687,1422,6.4,211361,-0.051
04-01-18,190,1793,7208,37206.07,8007.18,249704.60,1106,143,611,19,45528.93,75.50,139.27,9,4,317,0.25,0.76,1.32,1314.2,1741,1423,5.5,188527,-0.108
05-01-18,189,1795,7432,36127.92,15286.61,232866.12,1108,123,615,20,43424.48,65.08,129.73,9,4,353,0.35,0.65,1.54,1232.1,1893,1540,5.4,151548,-0.196
06-01-18,202,1825,7253,38547.20,25359.61,247534.46,1175,135,632,20,42217.33,66.83,135.64,9,4,313,0.33,0.67,1.50,1225.4,1834,1521,5.9,165431,0.092
07-01-18,200,1992,9680,49792.22,9157.85,289096.32,1412,97,634,20,43528.18,48.50,145.13,10,5,449,0.52,0.49,2.06,1445.5,2980,2532,6.6,140212,-0.152
08-01-18,212,2012,8250,44003.26,16359.62,247319.30,1537,111,534,19,43026.01,52.36,122.92,9,4,388,0.48,0.52,1.91,1166.6,2228,1840,5.7,129493,-0.076
09-01-18,155,1710,7132,39469.60,22891.02,224891.95,1026,75,512,20,43587.31,48.39,131.52,11,4,581,0.52,0.48,2.07,1450.9,2999,2417,5.2,108819,-0.160
10-01-18,172,1753,6092,44449.28,7987.68,257547.23,954,82,503,20,44079.31,47.67,146.92,10,3,538,0.52,0.48,2.10,1497.4,3141,2603,5.8,122784,0.128
11-01-18,171,2145,7152,34930.84,21239.27,301627.88,1276,69,527,19,45442.83,40.35,140.62,13,3,659,0.60,0.40,2.48,1763.9,4371,3713,6.6,121709,-0.009
12-01-18,193,2205,6239,35189.77,23626.53,233510.06,1242,101,539,19,54332.94,52.33,105.90,11,3,538,0.48,0.52,1.91,1209.9,2312,1774,4.3,122200,0.004
