date,date_weekday,day_of_week,is_weekend,abbreviated_weekday,month_start,month_num,month_year
2019-01-01,Tuesday,1,0,Tue,2019-01-01,1,January 2019
2019-01-02,Wednesday,2,0,Wed,2019-01-01,1,January 2019
2019-01-03,Thursday,3,0,Thu,2019-01-01,1,January 2019
2019-01-04,Friday,4,0,Fri,2019-01-01,1,January 2019
2019-01-05,Saturday,5,1,Sat,2019-01-01,1,January 2019
2019-01-06,Sunday,6,1,Sun,2019-01-01,1,January 2019
2019-01-07,Monday,0,0,Mon,2019-01-01,1,January 2019
2019-01-08,Tuesday,1,0,Tue,2019-01-01,1,January 2019
2019-01-09,Wednesday,2,0,Wed,2019-01-01,1,January 2019
2019-01-10,Thursday,3,0,Thu,2019-01-01,1,January 2019
2019-01-11,Friday,4,0,Fri,2019-01-01,1,January 2019
2019-01-12,Saturday,5,1,Sat,2019-01-01,1,January 2019
2019-01-13,Sunday,6,1,Sun,2019-01-01,1,January 2019
2019-01-14,Monday,0,0,Mon,2019-01-01,1,January 2019
2019-01-15,Tuesday,1,0,Tue,2019-01-01,1,January 2019
2019-01-16,Wednesday,2,0,Wed,2019-01-01,1,January 2019
2019-01-17,Thursday,3,0,Thu,2019-01-01,1,January 2019
2019-01-18,Friday,4,0,Fri,2019-01-01,1,January 2019
2019-01-19,Saturday,5,1,Sat,2019-01-01,1,January 2019
2019-01-20,Sunday,6,1,Sun,2019-01-01,1,January 2019
2019-01-21,Monday,0,0,Mon,2019-01-01,1,January 2019
2019-01-22,Tuesday,1,0,Tue,2019-01-01,1,January 2019
2019-01-23,Wednesday,2,0,Wed,2019-01-01,1,January 2019
2019-01-24,Thursday,3,0,Thu,2019-01-01,1,January 2019
2019-01-25,Friday,4,0,Fri,2019-01-01,1,January 2019
2019-01-26,Saturday,5,1,Sat,2019-01-01,1,January 2019
2019-01-27,Sunday,6,1,Sun,2019-01-01,1,January 2019
2019-01-28,Monday,0,0,Mon,2019-01-01,1,January 2019
2019-01-29,Tuesday,1,0,Tue,2019-01-01,1,January 2019
2019-01-30,Wednesday,2,0,Wed,2019-01-01,1,January 2019
2019-01-31,Thursday,3,0,Thu,2019-01-01,1,January 2019
2019-02-01,Friday,4,0,Fri,2019-02-01,2,February 2019
2019-02-02,Saturday,5,1,Sat,2019-02-01,2,February 2019
2019-02-03,Sunday,6,1,Sun,2019-02-01,2,February 2019
2019-02-04,Monday,0,0,Mon,2019-02-01,2,February 2019
2019-02-05,Tuesday,1,0,Tue,2019-02-01,2,February 2019
2019-02-06,Wednesday,2,0,Wed,2019-02-01,2,February 2019
2019-02-07,Thursday,3,0,Thu,2019-02-01,2,February 2019
2019-02-08,Friday,4,0,Fri,2019-02-01,2,February 2019
2019-02-09,Saturday,5,1,Sat,2019-02-01,2,February 2019
2019-02-10,Sunday,6,1,Sun,2019-02-01,2,February 2019
2019-02-11,Monday,0,0,Mon,2019-02-01,2,February 2019
2019-02-12,Tuesday,1,0,Tue,2019-02-01,2,February 2019
2019-02-13,Wednesday,2,0,Wed,2019-02-01,2,February 2019
2019-02-14,Thursday,3,0,Thu,2019-02-01,2,February 2019
2019-02-15,Friday,4,0,Fri,2019-02-01,2,February 2019
2019-02-16,Saturday,5,1,Sat,2019-02-01,2,February 2019
2019-02-17,Sunday,6,1,Sun,2019-02-01,2,February 2019
2019-02-18,Monday,0,0,Mon,2019-02-01,2,February 2019
2019-02-19,Tuesday,1,0,Tue,2019-02-01,2,February 2019
2019-02-20,Wednesday,2,0,Wed,2019-02-01,2,February 2019
2019-02-21,Thursday,3,0,Thu,2019-02-01,2,February 2019
2019-02-22,Friday,4,0,Fri,2019-02-01,2,February 2019
2019-02-23,Saturday,5,1,Sat,2019-02-01,2,February 2019
2019-02-24,Sunday,6,1,Sun,2019-02-01,2,February 2019
2019-02-25,Monday,0,0,Mon,2019-02-01,2,February 2019
2019-02-26,Tuesday,1,0,Tue,2019-02-01,2,February 2019
2019-02-27,Wednesday,2,0,Wed,2019-02-01,2,February 2019
2019-02-28,Thursday,3,0,Thu,2019-02-01,2,February 2019
2019-03-01,Friday,4,0,Fri,2019-03-01,3,March 2019
2019-03-02,Saturday,5,1,Sat,2019-03-01,3,March 2019
2019-03-03,Sunday,6,1,Sun,2019-03-01,3,March 2019
2019-03-04,Monday,0,0,Mon,2019-03-01,3,March 2019
2019-03-05,Tuesday,1,0,Tue,2019-03-01,3,March 2019
2019-03-06,Wednesday,2,0,Wed,2019-03-01,3,March 2019
2019-03-07,Thursday,3,0,Thu,2019-03-01,3,March 2019
2019-03-08,Friday,4,0,Fri,2019-03-01,3,March 2019
2019-03-09,Saturday,5,1,Sat,2019-03-01,3,March 2019
2019-03-10,Sunday,6,1,Sun,2019-03-01,3,March 2019
2019-03-11,Monday,0,0,Mon,2019-03-01,3,March 2019
2019-03-12,Tuesday,1,0,Tue,2019-03-01,3,March 2019
2019-03-13,Wednesday,2,0,Wed,2019-03-01,3,March 2019
2019-03-14,Thursday,3,0,Thu,2019-03-01,3,March 2019
2019-03-15,Friday,4,0,Fri,2019-03-01,3,March 2019
2019-03-16,Saturday,5,1,Sat,2019-03-01,3,March 2019
2019-03-17,Sunday,6,1,Sun,2019-03-01,3,March 2019
2019-03-18,Monday,0,0,Mon,2019-03-01,3,March 2019
2019-03-19,Tuesday,1,0,Tue,2019-03-01,3,March 2019
2019-03-20,Wednesday,2,0,Wed,2019-03-01,3,March 2019
2019-03-21,Thursday,3,0,Thu,2019-03-01,3,March 2019
2019-03-22,Friday,4,0,Fri,2019-03-01,3,March 2019
2019-03-23,Saturday,5,1,Sat,2019-03-01,3,March 2019
2019-03-24,Sunday,6,1,Sun,2019-03-01,3,March 2019
2019-03-25,Monday,0,0,Mon,2019-03-01,3,March 2019
2019-03-26,Tuesday,1,0,Tue,2019-03-01,3,March 2019
2019-03-27,Wednesday,2,0,Wed,2019-03-01,3,March 2019
2019-03-28,Thursday,3,0,Thu,2019-03-01,3,March 2019
2019-03-29,Friday,4,0,Fri,2019-03-01,3,March 2019
2019-03-30,Saturday,5,1,Sat,2019-03-01,3,March 2019
2019-03-31,Sunday,6,1,Sun,2019-03-01,3,March 2019
2019-04-01,Monday,0,0,Mon,2019-04-01,4,April 2019
2019-04-02,Tuesday,1,0,Tue,2019-04-01,4,April 2019
2019-04-03,Wednesday,2,0,Wed,2019-04-01,4,April 2019
2019-04-04,Thursday,3,0,Thu,2019-04-01,4,April 2019
2019-04-05,Friday,4,0,Fri,2019-04-01,4,April 2019
2019-04-06,Saturday,5,1,Sat,2019-04-01,4,April 2019
2019-04-07,Sunday,6,1,Sun,2019-04-01,4,April 2019
2019-04-08,Monday,0,0,Mon,2019-04-01,4,April 2019
2019-04-09,Tuesday,1,0,Tue,2019-04-01,4,April 2019
2019-04-10,Wednesday,2,0,Wed,2019-04-01,4,April 2019
