Metric Group,Metric Level,Metric Short Name,Metric Full Name,Metric Units,Metric Calculation,Metric Purpose,Metric Explanation,Suggested Chart/Graph
Conversion Metrics,Level 1,CR,Conversion Rate,Percentage (%),(Number of Conversions (Orders) / Number of Visitors) * 100,Monitor effectiveness of sales funnel,"Shows how well your product pages and overall buying journey perform. Represents the percentage of visitors who complete a desired action (e.g., purchase, signup).",Funnel Chart
Conversion Metrics,Level 2,ATC Rate,Add to Cart Rate,Percentage (%),(Number of Carts Added / Number of Visitors) * 100,Track user engagement and intent,Indicates product interest and potential checkout friction points. Indicates the percentage of visitors who add items to their shopping cart.,"Line Chart, Bar Chart"
Conversion Metrics,Level 2,Shopping Cart Abandonment Rate,Percentage of Carts Not Completing Purchase,Percentage (%),(1 - Conversion Rate) x 100,Analyzes lost sales opportunities at the checkout stage,Helps identify reasons for cart abandonment and optimize checkout flow,"Line Chart, Bar Chart"
Conversion Metrics,Level 3,Checkout Rate,Checkout Initiation Rate,Percentage (%),(Number of Checkout Initiations / Number of Visitors) * 100,Measure user intent to purchase,"Reflects the percentage of visitors who start the checkout process, indicating purchase intent.","Line Chart, Bar Chart"
Customer Acquisition,Level 1,CAC,Customer Acquisition Cost,Currency ($),Total Acquisition Costs / Number of New Customers,Measures cost efficiency of marketing efforts in acquiring new customers,"Measures the cost incurred to acquire a new customer, important for evaluating marketing spend effectiveness. Helps determine profitability of customer acquisition channels","Line Chart, Bar Chart"
Customer Acquisition,Level 2,CPC,Cost Per Click,Currency ($),Total Ad Spend / Number of Clicks,Evaluate efficiency of paid advertising campaigns,Represents the average cost of each click in a pay-per-click advertising campaign.,"Line Chart, Bar Chart"
Customer Acquisition,Level 2,CTR,Click-Through Rate,Percentage (%),(Number of Clicks / Number of Impressions) * 100,Gauge ad effectiveness,"Measures the percentage of ad impressions that result in a click, indicating ad effectiveness.",Line Chart
Customer Engagement,Level 1,UAR,User Activity Rate,Percentage (%),(Number of Active Users / Total Users) * 100,Measure user engagement,Represents the percentage of users who are active within a given time period.,Line Chart
Customer Engagement,Level 1,Product Page Views,Number of Times Product Pages are Viewed,Number of Views,Total number of product page visits,Tracks product interest and customer browsing behavior,Helps understand customer needs and identify popular products,"Line Chart, Bar Chart"
Customer Engagement,Level 1,DAU,Daily Active Users,Count,Number of unique users who engaged with the product or service in a single day,Measure daily user engagement,Indicates the number of users who actively use the product or service daily.,"Line Chart, Bar Chart"
